2025-07-02 15:58:25,050 [INFO] Logging started. Log file: logs\training_20250702_155825.log
2025-07-02 15:59:04,298 [INFO] Epoch 1: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 15:59:41,520 [INFO] Epoch 2: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:00:17,118 [INFO] Epoch 3: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:00:52,873 [INFO] Epoch 4: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:01:28,567 [INFO] Epoch 5: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:02:04,250 [INFO] Epoch 6: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:02:39,919 [INFO] Epoch 7: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:03:15,843 [INFO] Epoch 8: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:03:51,471 [INFO] Epoch 9: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:04:27,229 [INFO] Epoch 10: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:05:02,986 [INFO] Epoch 11: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:05:38,491 [INFO] Epoch 12: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:06:14,028 [INFO] Epoch 13: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:06:49,719 [INFO] Epoch 14: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:07:25,233 [INFO] Epoch 15: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:08:00,787 [INFO] Epoch 16: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:08:36,431 [INFO] Epoch 17: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:09:11,896 [INFO] Epoch 18: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:09:47,394 [INFO] Epoch 19: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:10:22,870 [INFO] Epoch 20: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:10:58,323 [INFO] Epoch 21: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:11:33,732 [INFO] Epoch 22: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:12:09,251 [INFO] Epoch 23: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:12:44,790 [INFO] Epoch 24: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:13:20,359 [INFO] Epoch 25: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:13:55,934 [INFO] Epoch 26: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:14:31,548 [INFO] Epoch 27: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:15:07,031 [INFO] Epoch 28: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:15:42,494 [INFO] Epoch 29: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:16:17,987 [INFO] Epoch 30: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:16:53,472 [INFO] Epoch 31: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:17:28,971 [INFO] Epoch 32: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:18:05,917 [INFO] Epoch 33: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:18:43,769 [INFO] Epoch 34: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:19:22,011 [INFO] Epoch 35: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:19:59,128 [INFO] Epoch 36: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:20:36,067 [INFO] Epoch 37: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:21:12,930 [INFO] Epoch 38: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:21:50,230 [INFO] Epoch 39: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
2025-07-02 16:22:26,492 [INFO] Epoch 40: mean_reward=-2.4410, total_reward=-9998.14, net_profit=-0.9998, sharpe=-0.1438, max_dd=0.9998
